station_id,year,count_days_frost,count_days_hot,count_days_ice,count_days_summer,count_days_tropical_night,cloud_cover_total,precipitation_height,sunshine_duration,temperature_air_max_2m,temperature_air_max_2m_mean,temperature_air_mean_2m,temperature_air_min_2m,temperature_air_min_2m_mean,wind_force_beaufort
00661,1881,,,,,,,,,,11.48,7.55,,,
00661,1882,,,,,,,,,,12.86,9.0,,,
00661,1883,,,,,,,,,,12.55,8.48,,,
00661,1884,,,,,,,,,,13.24,9.13,,,
00661,1885,,,,,,,,,,12.08,7.94,,,
00661,1886,,,,,,,,,,13.03,8.33,,,
00661,1887,,,,,,,,,,12.07,7.67,,,
00661,1888,,,,,,,,,,11.72,7.49,,,
00661,1889,,,,,,,,,,12.48,8.32,,,
00661,1890,,,,,,,,,,12.36,8.14,,,
00661,1891,88.0,0.0,24.0,21.0,0.0,0.6338,781.6,,29.3,12.5,8.41,-18.0,4.68,3.29
00661,1892,94.0,12.0,35.0,38.0,0.0,0.6062,513.1,,36.3,12.57,8.29,-15.8,4.15,3.04
00661,1893,80.0,7.0,28.0,35.0,0.0,0.5962,579.6,,34.6,13.06,8.71,-22.6,4.46,3.15
00661,1894,60.0,5.0,15.0,21.0,0.0,0.6412,623.7,,33.7,12.99,8.98,-18.1,5.2,3.24
00661,1895,105.0,6.0,44.0,42.0,0.0,0.6238,741.4,,32.2,12.47,8.15,-19.5,4.24,3.31
00661,1896,81.0,2.0,16.0,25.0,0.0,0.6662,683.2,,32.4,12.36,8.51,-9.5,4.94,3.05
00661,1897,83.0,1.0,28.0,35.0,0.0,0.6512,731.8,,30.4,12.57,8.61,-12.6,4.91,3.11
00661,1898,50.0,6.0,0.0,27.0,0.0,0.6988,783.4,,33.4,13.08,9.32,-5.6,5.81,3.58
00661,1899,78.0,3.0,25.0,32.0,0.0,0.6188,712.0,,30.5,13.03,8.92,-19.7,5.07,3.48
00661,1900,74.0,7.0,12.0,36.0,0.0,0.6662,652.6,,33.5,13.09,9.14,-14.4,5.49,3.32
00661,1901,98.0,3.0,35.0,35.0,0.0,0.595,730.1,,32.7,12.6,8.49,-23.7,4.49,3.46
00661,1902,84.0,4.0,27.0,20.0,0.0,0.6475,689.1,,30.8,11.5,7.64,-18.8,4.07,3.89
00661,1903,53.0,3.0,14.0,19.0,0.0,0.64,776.8,,31.0,13.16,9.34,-10.6,5.8,3.99
00661,1904,64.0,5.0,19.0,31.0,0.0,0.6488,570.6,,35.3,13.11,9.16,-8.1,5.44,3.76
00661,1905,78.0,6.0,12.0,39.0,1.0,0.6725,884.3,,33.5,12.59,8.79,-11.1,5.35,3.89
00661,1906,72.0,6.0,15.0,32.0,0.0,0.6288,739.5,,31.0,13.45,9.36,-11.2,5.69,3.77
00661,1907,72.0,4.0,23.0,15.0,0.0,0.635,586.5,,31.8,12.58,8.61,-16.3,4.96,3.64
00661,1908,86.0,5.0,23.0,32.0,0.0,0.61,577.3,,32.7,12.53,8.41,-16.6,4.62,3.41
00661,1909,97.0,1.0,21.0,14.0,0.0,0.6288,692.5,,31.8,12.19,8.25,-14.1,4.42,3.47
00661,1910,58.0,5.0,3.0,25.0,0.0,0.6325,571.5,,30.9,13.38,9.46,-9.6,5.73,3.4
00661,1911,62.0,22.0,4.0,54.0,1.0,0.5962,438.8,,36.4,14.5,10.24,-7.3,6.11,3.51
00661,1912,51.0,3.0,17.0,22.0,0.0,0.63,774.7,,30.6,12.63,8.77,-18.2,5.05,3.56
00661,1913,58.0,1.0,10.0,25.0,0.0,0.605,669.2,,30.3,13.62,9.6,-8.7,5.74,3.52
00661,1914,45.0,4.0,17.0,40.0,0.0,0.63,682.1,,30.6,13.6,9.7,-12.6,5.93,3.4
00661,1915,89.0,6.0,17.0,24.0,0.0,0.645,729.2,,34.3,12.61,8.69,-12.9,4.71,3.41
00661,1916,66.0,0.0,8.0,14.0,0.0,0.6675,835.7,,28.7,12.95,9.22,-7.9,5.64,3.5
00661,1917,97.0,8.0,43.0,50.0,0.0,0.6088,609.9,,33.1,12.57,8.53,-21.1,4.6,3.47
00661,1918,63.0,2.0,9.0,21.0,0.0,0.6425,718.0,,33.1,13.33,9.51,-8.3,5.86,3.34
00661,1919,96.0,6.0,32.0,31.0,0.0,0.665,599.2,,32.9,11.93,8.14,-16.3,4.36,3.44
00661,1920,74.0,1.0,15.0,27.0,0.0,0.6062,544.9,,31.3,13.62,9.52,-10.4,5.66,3.27
00661,1921,60.0,10.0,19.0,49.0,1.0,0.5675,581.6,,35.3,14.34,9.86,-10.5,5.6,3.54
00661,1922,85.0,4.0,29.0,23.0,0.0,0.6512,784.7,,35.0,11.86,8.03,-19.5,4.23,3.36
00661,1924,,,,,,,610.0,,,,,,,
00661,1925,58.0,8.0,13.0,34.0,1.0,0.6575,601.9,,32.7,13.36,9.28,-14.6,5.61,2.59
00661,1926,50.0,2.0,18.0,21.0,0.0,0.7012,862.8,,31.1,13.23,9.48,-10.4,6.23,2.69
00661,1927,70.0,3.0,24.0,27.0,0.0,0.6625,744.4,,33.0,12.69,8.73,-18.8,5.4,2.37
00661,1928,69.0,7.0,13.0,21.0,0.0,0.6188,707.5,,32.5,13.09,8.94,-10.1,5.21,2.36
