year,temperature_germany,temperature_niedersachsen
1881,7.31,7.54
1882,8.34,8.88
1883,7.88,8.39
1884,8.57,9.09
1885,7.74,7.94
1886,8.02,8.21
1887,6.95,7.42
1888,6.85,7.11
1889,7.38,7.96
1890,7.31,7.68
1891,7.43,7.84
1892,7.5,7.63
1893,7.91,8.29
1894,8.13,8.6
1895,7.31,7.64
1896,7.58,8.16
1897,7.95,8.25
1898,8.5,8.86
1899,8.09,8.55
1900,8.35,8.75
1901,7.64,8.11
1902,7.17,7.34
1903,8.35,8.82
1904,8.36,8.6
1905,7.95,8.28
1906,8.29,8.79
1907,7.8,8.06
1908,7.47,7.98
1909,7.35,7.7
1910,8.41,8.98
1911,9.05,9.49
1912,7.86,8.33
1913,8.53,8.99
1914,8.52,9.23
1915,7.91,8.07
1916,8.45,8.57
1917,7.54,7.93
1918,8.53,8.88
1919,7.32,7.48
1920,8.63,8.95
1921,9.0,9.33
1922,7.19,7.44
1923,7.99,8.02
1924,7.53,7.96
1925,8.32,8.82
1926,8.74,9.07
1927,8.04,8.28
1928,8.35,8.47
1929,7.36,7.5
1930,8.76,9.05
1931,7.55,8.08
1932,8.33,8.89
1933,7.62,8.16
1934,9.54,9.96
1935,8.42,8.93
1936,8.38,8.79
1937,8.59,8.85
1938,8.6,9.22
1939,8.3,8.9
1940,6.63,6.95
1941,7.16,7.58
1942,7.28,7.46
1943,8.88,9.2
1944,8.29,8.87
1945,8.98,9.38
1946,8.38,8.64
1947,8.51,8.55
1948,9.05,9.53
1949,9.14,9.5
1950,8.6,8.87
1951,8.72,8.99
1952,7.94,8.1
1953,8.94,9.4
1954,7.7,8.12
1955,7.54,7.97
1956,6.84,7.32
1957,8.58,9.04
1958,8.21,8.57
1959,9.03,9.45
1960,8.41,8.81
1961,8.94,9.23
1962,7.15,7.42
1963,7.1,7.32
1964,8.13,8.35
1965,7.48,7.86
1966,8.51,8.69
1967,8.89,9.39
1968,8.15,8.61
1969,7.75,8.2
1970,7.71,8.07
1971,8.43,8.94
1972,7.82,8.24
1973,8.21,8.77
1974,8.82,9.29
1975,8.93,9.49
1976,8.47,8.84
1977,8.67,9.06
1978,7.79,8.28
1979,7.72,7.77
1980,7.63,8.16
1981,8.19,8.55
1982,8.9,9.3
1983,9.04,9.53
1984,7.97,8.5
1985,7.42,7.8
1986,7.93,8.24
1987,7.44,7.73
1988,9.06,9.51
1989,9.47,9.99
1990,9.49,10.08
1991,8.35,8.8
1992,9.37,9.89
1993,8.47,8.64
1994,9.7,9.84
1995,8.9,9.32
1996,7.2,7.46
1997,8.89,9.35
1998,9.06,9.48
1999,9.49,10.21
2000,9.87,10.27
2001,9.02,9.41
2002,9.56,9.88
2003,9.38,9.66
2004,8.94,9.53
2005,8.99,9.64
2006,9.54,10.22
2007,9.85,10.41
2008,9.48,9.99
2009,9.18,9.71
2010,7.85,8.11
2011,9.64,9.99
2012,9.09,9.45
2013,8.71,9.06
2014,10.33,10.79
2015,9.94,10.15
2016,9.55,9.94
2017,9.58,9.97
2018,10.45,10.73
2019,10.28,10.67
2020,10.43,10.86
2021,9.16,9.69
2022,10.52,10.78
2023,10.63,10.89
2024,10.89,11.26
2025,10.03,10.43
