year,temperature_hannover
1856,8.8
1857,10.1
1858,8.62
1859,10.12
1860,8.18
1861,9.33
1862,9.71
1863,10.12
1864,7.55
1865,9.27
1866,9.78
1867,9.02
1868,10.72
1869,9.38
1870,8.26
1871,7.85
1872,10.52
1873,9.64
1874,9.44
1875,8.84
1876,9.27
1877,9.77
1878,10.01
1879,7.36
1880,9.47
1881,8.21
1882,9.53
1883,8.77
1884,9.53
1885,8.47
1886,8.79
1887,7.56
1888,7.49
1889,8.27
1890,7.98
1891,8.08
1892,7.86
1893,8.61
1894,8.98
1895,8.05
1896,8.75
1897,8.76
1898,9.56
1899,9.09
1900,9.37
1901,8.73
1902,7.78
1903,9.39
1904,9.15
1905,8.82
1906,9.34
1907,8.8
1908,8.65
1909,8.2
1910,9.62
1911,10.52
1912,8.98
1913,9.78
1914,9.89
1915,8.81
1916,9.26
1917,8.82
1918,9.63
1919,8.37
1920,9.68
1921,9.85
1922,7.92
1923,8.56
1924,8.48
1925,9.37
1926,9.52
1927,8.72
1928,8.98
1929,8.11
1930,9.6
1931,8.28
1932,9.12
1933,8.26
1934,10.35
1935,9.22
1936,9.15
1937,9.17
1938,9.61
1939,9.35
1940,7.24
1943,9.55
1944,9.24
1946,8.76
1947,8.45
1948,9.65
1949,9.56
1950,9.03
1951,9.13
1952,8.32
1953,9.56
1954,8.28
1955,8.02
1956,7.3
1957,9.12
1958,8.66
1959,9.64
1960,8.89
1961,9.38
1962,7.51
1963,7.41
1964,8.53
1965,8.04
1966,8.9
1967,9.62
1968,8.73
1969,8.27
1970,8.21
1971,9.12
1972,8.41
1973,8.9
1974,9.56
1975,9.74
1976,8.87
1977,9.32
1978,8.47
1979,8.05
1980,8.32
1981,8.77
1982,9.72
1983,9.85
1984,8.85
1985,8.13
1986,8.54
1987,7.92
1988,9.85
1989,10.38
1990,10.38
1991,9.04
1992,10.17
1993,8.85
1994,10.13
1995,9.61
1996,7.59
1997,9.59
1998,9.85
1999,10.56
2000,10.74
2001,9.62
2002,10.05
2003,9.89
2004,9.84
2005,9.86
2006,10.47
2007,10.57
2008,10.25
2009,10.07
2010,8.45
2011,10.38
2012,9.87
2013,9.4
2014,11.11
2015,10.55
2016,10.3
2017,10.35
2018,11.06
2019,11.04
2020,11.27
2021,9.9
2022,11.06
2023,11.23
2024,11.58
2025,10.7
